iter	RMSE
0	14.98193136
1	14.04170888
2	13.15856389
3	12.41052666
4	11.69439674
5	11.02869592
6	10.42621756
7	9.84052061
8	9.358652118
9	8.876758119
10	8.465068374
11	8.067439289
12	7.727385084
13	7.395022988
14	7.119974094
15	6.85173474
16	6.638354024
17	6.408742002
18	6.241437575
19	6.070390007
20	5.911273833
21	5.779803033
22	5.6439607
23	5.513988072
24	5.402959911
25	5.306263982
26	5.191792971
27	5.098679172
28	5.001088081
29	4.929351214
30	4.845923301
31	4.75581007
32	4.689725234
33	4.62003963
34	4.568737827
35	4.523657309
36	4.479954257
37	4.438410344
38	4.39490419
39	4.362627655
40	4.32736304
41	4.295343851
42	4.248606742
43	4.206406076
44	4.147711587
45	4.106671064
46	4.068636236
47	4.035387258
48	3.979401007
49	3.950859151
50	3.931307158
51	3.915758074
52	3.898521489
53	3.872618016
54	3.848162488
55	3.830797915
56	3.79949663
57	3.786226919
58	3.767897183
59	3.725328601
60	3.710019837
61	3.683282403
62	3.667241106
63	3.640289638
64	3.625465568
65	3.612572394
66	3.58028955
67	3.558074673
68	3.544341558
69	3.535782677
70	3.510554355
71	3.5018637
72	3.477313733
73	3.465487613
74	3.446240888
75	3.440879436
76	3.428366127
77	3.41225139
78	3.387183729
79	3.374894564
80	3.365722129
81	3.348334741
82	3.334193401
83	3.313161914
84	3.295722283
85	3.28331485
86	3.27466916
87	3.256034472
88	3.253185305
89	3.250057912
90	3.238967474
91	3.223743196
92	3.209325081
93	3.193751812
94	3.174240049
95	3.157750266
96	3.144473658
97	3.13582379
98	3.12754024
99	3.108773649
